 ID        Timestamp_RX        Timestamp_TX  Delay   Jitter
208 1739130260206993281 1739130260206959235  34046    208.0
209 1739130260207992840 1739130260207958745  34095     49.0
210 1739130260208992921 1739130260208957710  35211   1116.0
211 1739130260209997260 1739130260209957530  39730   4519.0
212 1739130260210991326 1739130260210957056  34270   5460.0
213 1739130260211993263 1739130260211958852  34411    141.0
214 1739130260212994829 1739130260212960969  33860    551.0
215 1739130260213993038 1739130260213959574  33464    396.0
216 1739130260214993953 1739130260214959940  34013    549.0
217 1739130260215991758 1739130260215958149  33609    404.0
218 1739130260216991830 1739130260216958792  33038    571.0
219 1739130260217991788 1739130260217958559  33229    191.0
220 1739130260218996912 1739130260218960192  36720   3491.0
221 1739130260219992631 1739130260219958853  33778   2942.0
222 1739130260220994936 1739130260220960340  34596    818.0
223 1739130260221991124 1739130260221957991  33133   1463.0
224 1739130260222988693 1739130260222956699  31994   1139.0
225 1739130260223994342 1739130260223960092  34250   2256.0
226 1739130260224995638 1739130260224960799  34839    589.0
227 1739130260225992292 1739130260225957939  34353    486.0
228 1739130260226990436 1739130260226957531  32905   1448.0
229 1739130260227988288 1739130260227956466  31822   1083.0
230 1739130260228990999 1739130260228957678  33321   1499.0
231 1739130260229994277 1739130260229960789  33488    167.0
232 1739130260230992951 1739130260230960126  32825    663.0
233 1739130260231991310 1739130260231958410  32900     75.0
234 1739130260232991385 1739130260232957857  33528    628.0
235 1739130260233992309 1739130260233958645  33664    136.0
236 1739130260234990678 1739130260234957400  33278    386.0
237 1739130260235989849 1739130260235958063  31786   1492.0
238 1739130260236990612 1739130260236957344  33268   1482.0
239 1739130260237991150 1739130260237957941  33209     59.0
240 1739130260238992809 1739130260238958500  34309   1100.0
241 1739130260239994546 1739130260239961007  33539    770.0
242 1739130260240990868 1739130260240957847  33021    518.0
243 1739130260241993753 1739130260241958871  34882   1861.0
244 1739130260242997143 1739130260242958080  39063   4181.0
245 1739130260243999565 1739130260243961178  38387    676.0
246 1739130260244993669 1739130260244960054  33615   4772.0
247 1739130260245990813 1739130260245957426  33387    228.0
248 1739130260246976937 1739130260246917997  58940  25553.0
249 1739130260247992895 1739130260247959255  33640  25300.0
250 1739130260248989273 1739130260248958291  30982   2658.0
251 1739130260249988544 1739130260249957619  30925     57.0
252 1739130260250989301 1739130260250958219  31082    157.0
253 1739130260251988861 1739130260251958289  30572    510.0
254 1739130260252988951 1739130260252958434  30517     55.0
255 1739130260253990236 1739130260253959753  30483     34.0
256 1739130260254989481 1739130260254957618  31863   1380.0
257 1739130260255976643 1739130260255923901  52742  20879.0
258 1739130260256990379 1739130260256957761  32618  20124.0
259 1739130260257975490 1739130260257930329  45161  12543.0
260 1739130260258986934 1739130260258956364  30570  14591.0
261 1739130260259990372 1739130260259958038  32334   1764.0
262 1739130260260989842 1739130260260957333  32509    175.0
263 1739130260261989599 1739130260261957705  31894    615.0
264 1739130260262988985 1739130260262957777  31208    686.0
265 1739130260263990657 1739130260263957577  33080   1872.0
266 1739130260264999628 1739130260264968900  30728   2352.0
267 1739130260265988436 1739130260265958093  30343    385.0
268 1739130260266988217 1739130260266957798  30419     76.0
269 1739130260268012278 1739130260267957928  54350  23931.0
270 1739130260268990854 1739130260268959828  31026  23324.0
271 1739130260269989367 1739130260269959769  29598   1428.0
272 1739130260270989380 1739130260270959475  29905    307.0
273 1739130260271989631 1739130260271959702  29929     24.0
274 1739130260272988673 1739130260272957749  30924    995.0
275 1739130260273988744 1739130260273957725  31019     95.0
276 1739130260274987356 1739130260274956690  30666    353.0
277 1739130260275989113 1739130260275959007  30106    560.0
278 1739130260276989635 1739130260276958912  30723    617.0
279 1739130260277991192 1739130260277959181  32011   1288.0
280 1739130260278989955 1739130260278957912  32043     32.0
281 1739130260279991559 1739130260279960837  30722   1321.0
282 1739130260280990828 1739130260280958098  32730   2008.0
283 1739130260281991247 1739130260281957678  33569    839.0
284 1739130260282990124 1739130260282957521  32603    966.0
285 1739130260283991987 1739130260283958140  33847   1244.0
286 1739130260284991140 1739130260284958319  32821   1026.0
287 1739130260285989897 1739130260285958025  31872    949.0
288 1739130260286989693 1739130260286960043  29650   2222.0
289 1739130260287990860 1739130260287959290  31570   1920.0
290 1739130260288993622 1739130260288961400  32222    652.0
291 1739130260289991356 1739130260289957702  33654   1432.0
